Datetime,Open,High,Low,Close,Volume
2023-01-03,1827.07,1881.57,1823.68,1871.72,1130001.0
2023-01-10,1870.7,1928.98,1867.17,1915.58,918349.0
2023-01-17,1915.03,1937.54,1896.61,1930.97,977624.0
2023-01-24,1930.79,1949.14,1916.67,1923.14,860499.0
2023-01-31,1921.77,1959.73,1859.87,1867.46,1026450.0
2023-02-07,1867.13,1890.24,1850.48,1853.52,899735.0
2023-02-14,1853.2,1870.65,1818.93,1841.05,804559.0
2023-02-21,1841.49,1846.03,1806.69,1817.11,823197.0
2023-02-28,1816.68,1858.3,1804.63,1846.61,790494.0
2023-03-07,1846.29,1914.54,1809.37,1913.5,1080342.0
2023-03-14,1913.03,2009.74,1885.67,1978.57,1408974.0
2023-03-21,1978.5,2003.3,1934.29,1956.31,1173714.0
2023-03-28,1955.79,1990.52,1949.12,1984.51,919416.0
2023-04-04,1983.53,2032.06,1976.98,1991.26,704253.0
2023-04-11,1991.17,2048.7,1981.15,1994.96,857933.0
2023-04-18,1994.99,2012.38,1969.2,1989.06,859578.0
2023-04-25,1988.89,2009.31,1974.09,1982.16,975159.0
2023-05-02,1981.53,2079.53,1978.52,2020.81,999090.0
2023-05-09,2020.49,2048.18,2000.93,2016.12,996443.0
2023-05-16,2015.44,2018.29,1951.99,1971.71,931920.0
2023-05-23,1971.26,1985.35,1936.74,1942.89,906679.0
2023-05-30,1943.89,1983.37,1932.0,1961.61,894757.0
2023-06-06,1961.16,1973.02,1939.66,1957.5,824291.0
2023-06-13,1957.19,1970.94,1924.99,1950.39,863643.0
2023-06-20,1949.36,1956.78,1910.14,1923.11,909683.0
2023-06-27,1922.89,1931.02,1892.98,1921.46,860594.0
2023-07-04,1918.84,1935.05,1902.64,1925.21,783726.0
2023-07-11,1916.55,1963.75,1916.55,1954.97,850207.0
2023-07-18,1954.31,1987.44,1953.46,1954.58,817949.0
2023-07-25,1954.96,1982.21,1942.6,1964.99,827992.0
2023-08-01,1965.6,1966.0,1923.57,1936.3,759907.0
2023-08-08,1936.16,1938.06,1902.77,1907.17,699984.0
2023-08-15,1907.13,1911.6,1884.82,1894.82,755063.0
2023-08-22,1894.35,1926.07,1889.22,1920.2,673821.0
2023-08-29,1919.55,1952.94,1914.55,1938.34,641218.0
2023-09-05,1938.31,1938.97,1915.26,1922.23,675373.0
2023-09-12,1922.61,1934.2,1900.99,1933.65,743265.0
2023-09-19,1933.29,1947.4,1913.92,1915.84,660682.0
2023-09-26,1916.01,1916.81,1827.11,1827.82,791210.0
2023-10-03,1828.6,1863.48,1810.4,1861.29,911018.0
2023-10-10,1861.04,1932.86,1852.99,1919.96,922912.0
2023-10-17,1919.63,1997.13,1912.39,1972.66,1024974.0
2023-10-24,1972.48,2009.36,1953.56,1995.97,928736.0
2023-10-31,1995.34,2007.82,1969.84,1977.6,854793.0
2023-11-07,1977.8,1978.27,1931.69,1946.04,819800.0
2023-11-14,1946.14,1993.41,1943.75,1977.88,857652.0
2023-11-21,1977.84,2018.1,1977.68,2013.9,757271.0
2023-11-28,2013.14,2145.22,2011.67,2029.35,1031632.0
2023-12-05,2029.26,2041.19,1975.89,1981.77,979418.0
2023-12-12,1981.87,2047.89,1973.02,2027.1,928687.0
2023-12-19,2027.16,2070.63,2021.66,2052.85,624213.0
2023-12-26,2053.06,2088.4,2052.93,2062.74,535488.0
