Datetime,Open,High,Low,Close,Volume
2023-01-03,1827.07,1849.95,1823.68,1839.27,254944.0
2023-01-04,1839.17,1865.11,1836.11,1854.35,252668.0
2023-01-05,1854.29,1859.0,1825.06,1832.52,222905.0
2023-01-06,1831.92,1869.89,1830.34,1865.6,202414.0
2023-01-09,1867.24,1881.57,1864.67,1871.72,197070.0
2023-01-10,1870.7,1880.76,1867.84,1876.82,190077.0
2023-01-11,1876.59,1886.64,1867.17,1875.38,178866.0
2023-01-12,1875.47,1901.59,1868.4,1896.9,209255.0
2023-01-13,1895.49,1921.88,1892.33,1919.48,210626.0
2023-01-16,1920.53,1928.98,1910.82,1915.58,129525.0
2023-01-17,1915.03,1919.01,1903.77,1908.54,193607.0
2023-01-18,1907.77,1925.93,1896.61,1904.01,222473.0
2023-01-19,1904.94,1935.15,1901.0,1932.19,214187.0
2023-01-20,1931.93,1937.54,1920.68,1925.56,172947.0
2023-01-23,1926.49,1935.51,1911.4,1930.97,174410.0
2023-01-24,1930.79,1942.51,1917.14,1937.33,171186.0
2023-01-25,1937.59,1948.04,1919.88,1946.12,170551.0
2023-01-26,1946.72,1949.14,1918.7,1928.62,180943.0
2023-01-27,1927.7,1935.02,1916.67,1927.22,157866.0
2023-01-30,1927.32,1934.49,1920.67,1923.14,179953.0
2023-01-31,1921.77,1931.14,1900.82,1928.17,190402.0
2023-02-01,1928.08,1954.51,1920.63,1950.3,194934.0
2023-02-02,1950.38,1959.73,1911.29,1912.54,229726.0
2023-02-03,1911.8,1918.58,1861.41,1864.32,217380.0
2023-02-06,1864.32,1881.35,1859.87,1867.46,194008.0
2023-02-07,1867.13,1884.48,1864.98,1873.15,207616.0
2023-02-08,1872.29,1886.31,1869.08,1875.42,168279.0
2023-02-09,1874.92,1890.24,1858.93,1861.62,179788.0
2023-02-10,1861.86,1872.24,1852.77,1865.33,187667.0
2023-02-13,1865.41,1866.56,1850.48,1853.52,156385.0
2023-02-14,1853.2,1870.65,1843.35,1854.24,194940.0
2023-02-15,1854.21,1860.11,1830.59,1835.76,180446.0
2023-02-16,1835.79,1845.29,1827.64,1836.14,174518.0
2023-02-17,1836.19,1843.57,1818.93,1841.8,167460.0
2023-02-20,1841.36,1847.52,1837.31,1841.05,87195.0
2023-02-21,1841.49,1843.86,1830.27,1834.89,164735.0
2023-02-22,1834.23,1846.03,1823.54,1825.22,165575.0
2023-02-23,1825.34,1833.79,1817.51,1822.24,154739.0
2023-02-24,1820.78,1827.82,1808.94,1810.3,181433.0
2023-02-27,1811.08,1820.14,1806.69,1817.11,156715.0
2023-02-28,1816.68,1831.17,1804.63,1826.66,163520.0
2023-03-01,1826.29,1844.58,1823.05,1836.41,171338.0
2023-03-02,1836.57,1838.99,1830.0,1835.64,161129.0
2023-03-03,1835.75,1856.93,1835.5,1856.06,148141.0
2023-03-06,1854.7,1858.3,1845.1,1846.61,146366.0
2023-03-07,1846.29,1851.66,1812.73,1813.26,180257.0
2023-03-08,1813.29,1824.27,1809.37,1813.7,156261.0
2023-03-09,1813.57,1835.65,1811.9,1830.67,164700.0
2023-03-10,1830.79,1870.13,1827.74,1867.56,239205.0
2023-03-13,1872.76,1914.54,1871.48,1913.5,339919.0
2023-03-14,1913.03,1914.11,1895.43,1903.86,266775.0
2023-03-15,1903.51,1937.37,1885.67,1918.41,296311.0
2023-03-16,1917.9,1933.49,1907.54,1919.26,282425.0
2023-03-17,1921.55,1989.01,1918.23,1988.71,262990.0
2023-03-20,1987.66,2009.74,1965.83,1978.57,300473.0
2023-03-21,1978.5,1985.15,1935.43,1940.26,225051.0
2023-03-22,1939.46,1978.87,1934.29,1969.71,233015.0
2023-03-23,1971.26,2003.3,1964.49,1993.36,263546.0
2023-03-24,1993.21,2003.02,1975.14,1977.66,253601.0
2023-03-27,1972.83,1980.21,1944.03,1956.31,198501.0
2023-03-28,1955.79,1975.25,1949.12,1973.51,184237.0
2023-03-29,1971.98,1974.4,1958.71,1964.36,164564.0
2023-03-30,1962.98,1984.32,1955.36,1980.16,179951.0
2023-03-31,1979.99,1987.59,1966.87,1968.76,186669.0
2023-04-03,1972.49,1990.52,1949.71,1984.51,203995.0
2023-04-04,1983.53,2025.01,1976.98,2020.31,195740.0
2023-04-05,2020.38,2032.06,2009.95,2020.41,181698.0
2023-04-06,2020.09,2021.31,2000.81,2007.81,178261.0
2023-04-10,1992.79,2008.29,1981.66,1991.26,148554.0
2023-04-11,1991.17,2007.46,1988.76,2003.51,144543.0
2023-04-12,2003.46,2028.29,2001.35,2014.86,178986.0
2023-04-13,2014.45,2048.7,2013.76,2039.96,172868.0
2023-04-14,2039.64,2047.39,1992.43,2003.99,194201.0
2023-04-17,2003.66,2015.06,1981.15,1994.96,167335.0
2023-04-18,1994.99,2011.86,1991.29,2004.96,158275.0
2023-04-19,2004.89,2008.12,1969.2,1994.68,199003.0
2023-04-20,1994.75,2012.38,1990.46,2004.54,166947.0
2023-04-21,2004.03,2005.52,1971.64,1982.41,174350.0
2023-04-24,1981.2,1990.89,1974.13,1989.06,161003.0
2023-04-25,1988.89,2003.83,1976.11,1997.01,204422.0
2023-04-26,1996.39,2009.31,1983.33,1989.21,210757.0
2023-04-27,1989.1,2003.35,1974.09,1987.71,196874.0
2023-04-28,1987.5,1995.08,1976.17,1989.56,201124.0
2023-05-01,1989.6,2005.99,1977.06,1982.16,161982.0
2023-05-02,1981.53,2019.41,1978.52,2016.48,181737.0
2023-05-03,2016.62,2040.36,2007.62,2038.94,194807.0
2023-05-04,2034.45,2079.53,2030.35,2050.16,260915.0
2023-05-05,2049.54,2052.99,1999.64,2016.71,187430.0
2023-05-08,2016.9,2029.39,2014.24,2020.81,174201.0
2023-05-09,2020.49,2037.6,2019.46,2034.37,187085.0
2023-05-10,2033.92,2048.18,2021.52,2029.97,196289.0
2023-05-11,2029.47,2041.3,2011.14,2014.8,220738.0
2023-05-12,2014.69,2022.54,2000.93,2010.56,222079.0
2023-05-15,2009.89,2022.15,2006.94,2016.12,170252.0
2023-05-16,2015.44,2018.29,1985.48,1988.92,199270.0
2023-05-17,1988.29,1993.04,1975.01,1981.51,189388.0
2023-05-18,1981.55,1985.99,1951.99,1957.32,164620.0
2023-05-19,1956.11,1984.24,1953.95,1977.84,189164.0
2023-05-22,1976.94,1982.59,1968.84,1971.71,189478.0
2023-05-23,1971.26,1977.76,1954.23,1975.14,227484.0
2023-05-24,1974.87,1985.35,1956.73,1957.23,212191.0
2023-05-25,1956.29,1964.75,1938.85,1941.09,191675.0
2023-05-26,1940.07,1957.26,1936.74,1946.21,192567.0
2023-05-29,1941.41,1949.74,1940.22,1942.89,82762.0
2023-05-30,1943.89,1963.53,1932.0,1959.38,182319.0
2023-05-31,1958.99,1974.74,1953.64,1962.56,193758.0
2023-06-01,1962.39,1983.1,1953.36,1977.49,176122.0
2023-06-02,1976.89,1983.37,1947.49,1947.64,167155.0
2023-06-05,1946.99,1964.03,1938.11,1961.61,175403.0
2023-06-06,1961.16,1966.39,1954.36,1963.36,183644.0
2023-06-07,1963.58,1970.19,1939.76,1939.91,166514.0
2023-06-08,1940.53,1970.57,1939.66,1965.31,175349.0
2023-06-09,1965.39,1973.02,1956.63,1960.96,145403.0
2023-06-12,1960.19,1966.97,1949.17,1957.5,153381.0
2023-06-13,1957.19,1970.94,1940.03,1943.71,176753.0
2023-06-14,1943.81,1960.27,1939.65,1942.16,180235.0
2023-06-15,1939.76,1960.26,1924.99,1957.78,212969.0
2023-06-16,1943.05,1967.91,1943.0,1957.63,194019.0
2023-06-19,1953.98,1958.76,1947.83,1950.39,99667.0
2023-06-20,1949.36,1956.78,1929.78,1936.32,200348.0
2023-06-21,1934.25,1939.48,1919.17,1932.52,191873.0
2023-06-22,1932.04,1934.91,1912.4,1913.81,169867.0
2023-06-23,1912.92,1937.36,1910.14,1920.72,180777.0
2023-06-26,1926.09,1933.34,1921.53,1923.11,166818.0
2023-06-27,1922.89,1930.68,1910.95,1913.48,176539.0
2023-06-28,1913.53,1917.22,1902.81,1907.43,170640.0
2023-06-29,1907.12,1913.09,1892.98,1907.86,186312.0
2023-06-30,1907.59,1922.76,1900.51,1919.62,179960.0
2023-07-03,1918.47,1931.02,1910.15,1921.46,147143.0
2023-07-04,1918.84,1930.72,1918.64,1925.62,89839.0
2023-07-05,1925.82,1935.05,1914.77,1915.19,171259.0
2023-07-06,1914.56,1927.68,1902.64,1910.82,181927.0
2023-07-07,1909.96,1934.85,1909.54,1925.08,179024.0
2023-07-10,1924.34,1928.2,1912.65,1925.21,161677.0
2023-07-11,1916.55,1938.42,1916.55,1932.06,160137.0
2023-07-12,1932.63,1959.67,1932.16,1957.26,182911.0
