Datetime,Open,High,Low,Close,Volume
2021-01-04,1904.78,1959.33,1828.18,1848.9,1290538.0
2021-01-11,1849.3,1863.78,1816.64,1827.71,1221306.0
2021-01-18,1828.12,1875.11,1802.55,1855.34,1090238.0
2021-01-25,1855.28,1875.64,1831.38,1847.68,1298029.0
2021-02-01,1863.46,1871.8,1785.01,1814.23,1366692.0
2021-02-08,1816.98,1855.37,1807.79,1824.26,1087323.0
2021-02-15,1824.97,1827.0,1760.63,1784.08,1231482.0
2021-02-22,1781.93,1815.97,1717.23,1734.81,1672986.0
2021-03-01,1733.45,1759.83,1687.3,1700.08,1588067.0
2021-03-08,1701.46,1739.83,1676.81,1726.59,1382088.0
2021-03-15,1724.86,1755.49,1719.2,1744.73,1220724.0
2021-03-22,1745.51,1746.95,1721.59,1732.11,1115744.0
2021-03-29,1731.4,1733.13,1677.86,1730.11,955370.0
2021-04-05,1728.55,1758.65,1721.27,1743.57,1010044.0
2021-04-12,1743.42,1783.83,1723.69,1776.41,1184852.0
2021-04-19,1776.62,1797.84,1763.61,1776.77,1168610.0
2021-04-26,1775.84,1789.98,1756.17,1768.48,1082842.0
2021-05-03,1768.06,1843.36,1766.02,1831.06,1101549.0
2021-05-10,1832.17,1845.89,1808.74,1843.28,1278615.0
2021-05-17,1843.7,1890.07,1840.67,1881.28,1175173.0
2021-05-24,1881.65,1912.72,1872.72,1903.41,1056586.0
2021-05-31,1903.08,1916.58,1855.87,1890.9,934225.0
2021-06-07,1891.31,1903.33,1869.94,1877.46,928477.0
2021-06-14,1876.3,1877.7,1760.91,1764.31,1177255.0
2021-06-21,1763.94,1794.93,1763.69,1781.15,1039117.0
2021-06-28,1780.11,1795.05,1750.64,1787.33,950860.0
2021-07-05,1786.75,1818.43,1784.47,1808.21,994829.0
2021-07-12,1806.65,1834.05,1791.67,1811.97,1070276.0
2021-07-19,1810.06,1824.95,1789.6,1802.09,1019333.0
2021-07-26,1801.85,1832.63,1792.56,1814.04,948894.0
2021-08-02,1812.5,1831.72,1758.69,1763.73,871924.0
2021-08-09,1763.54,1779.92,1680.41,1779.56,1009909.0
2021-08-16,1778.02,1795.53,1770.81,1781.17,1004965.0
2021-08-23,1780.21,1819.27,1776.45,1816.99,842760.0
2021-08-30,1818.11,1833.97,1801.63,1827.6,763382.0
2021-09-06,1827.4,1830.27,1782.37,1787.53,837163.0
2021-09-13,1787.26,1808.62,1745.31,1754.46,995939.0
2021-09-20,1753.12,1787.19,1737.92,1750.45,997242.0
2021-09-27,1751.12,1764.28,1721.63,1760.39,979290.0
2021-10-04,1761.85,1781.35,1745.85,1757.19,924918.0
2021-10-11,1756.76,1800.57,1750.16,1767.47,885897.0
2021-10-18,1766.27,1813.81,1760.28,1792.88,957441.0
2021-10-25,1791.82,1810.43,1771.9,1783.24,960721.0
2021-11-01,1782.68,1818.24,1758.8,1818.09,916931.0
2021-11-08,1818.33,1868.63,1812.42,1864.41,1000173.0
2021-11-15,1868.9,1877.18,1843.0,1846.16,956964.0
2021-11-22,1846.59,1849.06,1778.51,1791.6,1030439.0
2021-11-29,1788.59,1808.74,1761.89,1783.43,1286114.0
2021-12-06,1784.48,1793.07,1770.1,1782.75,930579.0
2021-12-13,1781.94,1814.23,1752.53,1797.95,896094.0
2021-12-20,1799.37,1810.72,1784.84,1808.3,608556.0
2021-12-27,1807.8,1830.3,1789.39,1829.21,640889.0
