Datetime,Open,High,Low,Close,Volume
2021-01-04,1904.78,1944.42,1903.05,1942.71,233725.0
2021-01-05,1942.35,1953.03,1934.31,1949.77,211498.0
2021-01-06,1950.25,1959.33,1900.89,1918.24,290950.0
2021-01-07,1919.02,1927.65,1906.81,1913.65,247480.0
2021-01-08,1914.34,1917.49,1828.18,1848.9,306885.0
2021-01-11,1849.3,1856.6,1816.64,1843.13,286121.0
2021-01-12,1843.55,1863.78,1836.61,1854.46,246885.0
2021-01-13,1854.3,1863.02,1841.85,1844.96,209128.0
2021-01-14,1845.52,1857.52,1827.87,1846.31,237010.0
2021-01-15,1846.63,1857.0,1823.4,1827.71,242162.0
2021-01-18,1828.12,1840.77,1802.55,1837.56,188372.0
2021-01-19,1837.75,1845.47,1833.03,1839.99,198730.0
2021-01-20,1839.47,1871.72,1832.51,1871.61,234611.0
2021-01-21,1870.15,1875.11,1858.32,1869.67,229613.0
2021-01-22,1869.92,1870.8,1837.32,1855.34,238912.0
2021-01-25,1855.28,1867.86,1847.1,1855.87,243261.0
2021-01-26,1855.6,1861.69,1848.36,1850.76,201002.0
2021-01-27,1849.8,1853.1,1831.38,1843.8,244727.0
2021-01-28,1843.9,1864.03,1833.99,1842.66,281237.0
2021-01-29,1841.83,1875.64,1839.57,1847.68,327802.0
2021-02-01,1863.46,1871.8,1849.11,1860.49,357882.0
2021-02-02,1860.29,1864.06,1829.53,1837.95,291211.0
2021-02-03,1837.59,1844.96,1829.73,1834.0,224236.0
2021-02-04,1833.4,1834.72,1785.01,1793.64,265081.0
2021-02-05,1793.58,1815.15,1791.99,1814.23,228282.0
2021-02-08,1816.98,1839.18,1807.79,1830.33,237051.0
2021-02-09,1829.86,1848.58,1828.84,1838.16,232390.0
2021-02-10,1837.56,1855.37,1834.05,1843.29,222106.0
2021-02-11,1842.95,1847.55,1821.16,1825.42,195745.0
2021-02-12,1825.16,1830.68,1810.54,1824.26,200031.0
2021-02-15,1824.97,1827.0,1816.04,1818.79,130333.0
2021-02-16,1819.14,1826.44,1789.47,1794.4,258021.0
2021-02-17,1793.7,1795.14,1769.58,1776.17,274678.0
2021-02-18,1776.36,1789.61,1768.39,1775.58,276111.0
2021-02-19,1776.05,1791.58,1760.63,1784.08,292339.0
2021-02-22,1781.93,1812.64,1780.64,1809.44,304595.0
2021-02-23,1809.48,1815.97,1795.6,1805.75,288935.0
2021-02-24,1804.57,1813.91,1783.61,1805.03,300798.0
2021-02-25,1805.06,1805.35,1765.51,1769.91,379315.0
2021-02-26,1770.18,1775.76,1717.23,1734.81,399343.0
2021-03-01,1733.45,1759.83,1719.69,1724.71,307534.0
2021-03-02,1724.38,1739.11,1707.19,1738.12,305562.0
2021-03-03,1737.95,1740.53,1701.91,1710.88,301710.0
2021-03-04,1710.96,1723.21,1690.57,1697.21,347747.0
2021-03-05,1697.34,1707.69,1687.3,1700.08,325514.0
2021-03-08,1701.46,1714.28,1676.81,1683.33,321298.0
2021-03-09,1683.04,1720.64,1680.09,1716.02,284349.0
2021-03-10,1715.69,1726.76,1708.21,1726.52,266854.0
2021-03-11,1726.25,1739.83,1719.23,1722.41,253063.0
2021-03-12,1722.03,1729.26,1699.2,1726.59,256524.0
2021-03-15,1724.86,1734.54,1721.66,1731.58,225833.0
2021-03-16,1731.3,1741.22,1726.17,1731.37,211255.0
2021-03-17,1731.33,1751.61,1724.21,1745.27,238117.0
2021-03-18,1744.81,1755.49,1719.2,1736.32,293467.0
2021-03-19,1735.33,1746.72,1728.39,1744.73,252052.0
2021-03-22,1745.51,1746.95,1727.39,1738.82,239530.0
2021-03-23,1738.72,1742.56,1724.66,1726.9,226006.0
2021-03-24,1727.0,1738.49,1723.78,1734.44,211172.0
2021-03-25,1734.28,1745.48,1721.76,1726.37,240149.0
2021-03-26,1726.64,1736.72,1721.59,1732.11,198887.0
2021-03-29,1731.4,1733.13,1705.72,1711.94,196344.0
2021-03-30,1712.24,1714.41,1678.75,1684.83,257718.0
2021-03-31,1684.76,1715.27,1677.86,1707.4,267957.0
2021-04-01,1707.4,1730.43,1705.73,1730.11,233351.0
2021-04-05,1728.55,1733.53,1721.27,1728.16,167045.0
2021-04-06,1728.41,1745.47,1727.17,1743.23,202179.0
2021-04-07,1742.96,1744.32,1730.66,1737.34,198340.0
2021-04-08,1737.35,1758.65,1733.14,1755.58,218177.0
2021-04-09,1755.32,1757.31,1731.21,1743.57,224303.0
2021-04-12,1743.42,1744.98,1727.41,1732.78,227303.0
2021-04-13,1732.26,1748.98,1723.69,1745.33,246938.0
2021-04-14,1744.46,1749.34,1732.58,1736.23,226532.0
2021-04-15,1736.09,1769.63,1734.32,1763.5,240834.0
2021-04-16,1763.69,1783.83,1759.77,1776.41,243245.0
2021-04-19,1776.62,1790.05,1766.72,1771.12,247170.0
2021-04-20,1771.08,1780.41,1763.61,1778.5,245886.0
2021-04-21,1778.54,1797.64,1776.24,1793.62,226950.0
2021-04-22,1793.53,1797.84,1777.4,1784.06,233647.0
2021-04-23,1783.63,1796.0,1770.0,1776.77,214957.0
2021-04-26,1775.84,1783.5,1768.78,1781.16,215559.0
2021-04-27,1780.91,1785.54,1773.7,1776.68,206623.0
2021-04-28,1776.52,1782.55,1762.59,1781.51,222356.0
2021-04-29,1781.45,1789.98,1756.17,1771.95,222073.0
2021-04-30,1772.82,1773.61,1764.22,1768.48,216231.0
2021-05-03,1768.06,1797.9,1766.02,1792.83,201523.0
2021-05-04,1792.6,1799.08,1770.84,1778.68,229297.0
2021-05-05,1778.58,1787.94,1770.39,1786.72,193465.0
