Datetime,Open,High,Low,Close,Volume
2023-01-03 01:00:00,1827.07,1830.16,1823.68,1828.15,3342.0
2023-01-03 01:30:00,1828.19,1829.47,1827.0,1829.44,2215.0
2023-01-03 02:00:00,1829.43,1832.17,1828.78,1831.3,3038.0
2023-01-03 02:30:00,1831.3,1831.98,1830.19,1830.62,2223.0
2023-01-03 03:00:00,1830.62,1832.42,1826.82,1828.17,6867.0
2023-01-03 03:30:00,1828.18,1830.55,1826.89,1828.52,5658.0
2023-01-03 04:00:00,1828.51,1831.0,1828.28,1830.51,4209.0
2023-01-03 04:30:00,1830.49,1839.93,1830.47,1838.34,5362.0
2023-01-03 05:00:00,1838.35,1843.12,1838.33,1841.57,4882.0
2023-01-03 05:30:00,1841.61,1842.11,1840.43,1841.18,3462.0
2023-01-03 06:00:00,1841.19,1842.04,1840.56,1841.15,2589.0
2023-01-03 06:30:00,1841.15,1842.11,1840.35,1840.41,2688.0
2023-01-03 07:00:00,1840.41,1841.16,1837.96,1838.14,3111.0
2023-01-03 07:30:00,1838.14,1840.93,1838.11,1840.38,4072.0
2023-01-03 08:00:00,1840.37,1844.18,1840.36,1841.92,4495.0
2023-01-03 08:30:00,1841.92,1842.3,1840.01,1841.97,3798.0
2023-01-03 09:00:00,1841.97,1847.63,1841.05,1847.21,5093.0
2023-01-03 09:30:00,1847.21,1849.95,1844.72,1847.51,6946.0
2023-01-03 10:00:00,1847.55,1847.97,1838.8,1840.58,9353.0
2023-01-03 10:30:00,1840.6,1840.64,1834.51,1836.12,8287.0
2023-01-03 11:00:00,1836.13,1841.47,1834.81,1841.4,8355.0
2023-01-03 11:30:00,1841.4,1842.01,1837.62,1838.84,6990.0
2023-01-03 12:00:00,1838.84,1839.37,1837.56,1837.99,5682.0
2023-01-03 12:30:00,1837.97,1838.27,1833.71,1834.43,5299.0
2023-01-03 13:00:00,1834.45,1834.85,1831.65,1833.19,5435.0
2023-01-03 13:30:00,1833.18,1833.56,1830.82,1833.18,5292.0
2023-01-03 14:00:00,1833.18,1835.57,1831.72,1835.36,5741.0
2023-01-03 14:30:00,1835.39,1836.4,1833.69,1834.55,4897.0
2023-01-03 15:00:00,1834.54,1840.51,1834.14,1838.86,9209.0
2023-01-03 15:30:00,1838.87,1841.07,1837.0,1838.86,8047.0
2023-01-03 16:00:00,1838.88,1841.35,1836.68,1841.2,6958.0
2023-01-03 16:30:00,1841.23,1849.81,1839.46,1844.92,12677.0
2023-01-03 17:00:00,1844.89,1845.4,1832.56,1833.63,10985.0
2023-01-03 17:30:00,1833.62,1834.03,1827.6,1833.22,10800.0
2023-01-03 18:00:00,1833.22,1834.2,1828.27,1829.98,8853.0
2023-01-03 18:30:00,1829.99,1834.29,1828.53,1834.29,8072.0
2023-01-03 19:00:00,1834.28,1837.83,1834.0,1837.36,5869.0
2023-01-03 19:30:00,1837.35,1839.22,1836.81,1839.21,5168.0
2023-01-03 20:00:00,1839.21,1840.26,1837.34,1840.11,5229.0
2023-01-03 20:30:00,1840.13,1840.19,1838.0,1838.83,4446.0
2023-01-03 21:00:00,1838.86,1839.2,1836.52,1837.12,4071.0
2023-01-03 21:30:00,1837.12,1839.22,1836.56,1839.06,4768.0
2023-01-03 22:00:00,1839.03,1839.57,1837.47,1838.39,3844.0
2023-01-03 22:30:00,1838.39,1838.74,1836.67,1838.17,3830.0
2023-01-03 23:00:00,1838.16,1839.3,1837.79,1839.3,1586.0
