Datetime,Open,High,Low,Close,Volume
2022-01-03,1829.0,1831.75,1782.62,1796.84,897551.0
2022-01-10,1794.41,1829.19,1790.34,1817.55,927776.0
2022-01-17,1817.91,1847.93,1805.76,1834.55,956898.0
2022-01-24,1834.43,1853.85,1780.28,1791.63,1089779.0
2022-01-31,1791.13,1814.89,1785.57,1807.86,846817.0
2022-02-07,1807.36,1865.48,1806.71,1859.0,906364.0
2022-02-14,1861.19,1902.46,1844.52,1897.68,1067794.0
2022-02-21,1900.11,1974.44,1877.99,1888.99,1202984.0
2022-02-28,1916.39,1970.74,1890.93,1970.45,1160858.0
2022-03-07,1974.22,2070.35,1958.67,1987.9,1365173.0
2022-03-14,1984.22,1989.82,1895.0,1921.06,817652.0
2022-03-21,1921.64,1966.15,1910.7,1958.03,752781.0
2022-03-28,1956.86,1959.13,1890.09,1924.84,1016443.0
2022-04-04,1924.6,1948.18,1915.03,1947.16,904960.0
2022-04-11,1946.33,1981.56,1939.96,1973.47,741306.0
2022-04-18,1972.19,1998.35,1926.48,1931.32,996697.0
2022-04-25,1930.11,1934.44,1872.05,1897.12,1091397.0
2022-05-02,1896.54,1909.76,1850.4,1883.16,990221.0
2022-05-09,1882.97,1885.61,1799.07,1811.62,1108435.0
2022-05-16,1808.87,1849.4,1786.75,1846.4,1013272.0
2022-05-23,1845.71,1869.68,1840.6,1853.49,789785.0
2022-05-30,1852.62,1874.04,1828.46,1850.85,689174.0
2022-06-06,1850.0,1875.89,1825.04,1871.26,757707.0
2022-06-13,1874.34,1878.99,1805.07,1839.52,1065768.0
2022-06-20,1836.39,1847.86,1816.93,1827.14,784548.0
2022-06-27,1838.43,1841.01,1784.51,1810.47,791644.0
2022-07-04,1810.69,1814.34,1732.23,1742.13,763089.0
2022-07-11,1742.13,1745.35,1697.52,1707.27,883938.0
2022-07-18,1707.7,1739.25,1680.88,1727.24,776591.0
2022-07-25,1727.59,1767.92,1711.5,1766.01,944059.0
2022-08-01,1765.11,1794.92,1754.26,1774.9,1005002.0
2022-08-08,1773.65,1807.95,1770.49,1802.24,817409.0
2022-08-15,1801.52,1802.18,1745.55,1746.95,824118.0
2022-08-22,1746.18,1765.47,1727.73,1737.54,834219.0
2022-08-29,1734.45,1745.5,1688.82,1712.33,862799.0
2022-09-05,1711.9,1729.46,1691.37,1717.38,848169.0
2022-09-12,1717.22,1735.1,1654.07,1675.23,917242.0
2022-09-19,1674.05,1687.94,1639.72,1643.28,985023.0
2022-09-26,1643.65,1675.38,1614.8,1660.67,1032428.0
2022-10-03,1660.73,1729.38,1659.61,1694.7,1054765.0
2022-10-10,1695.75,1699.77,1640.14,1643.76,1074021.0
2022-10-17,1643.52,1668.41,1617.2,1657.64,1043805.0
2022-10-24,1658.71,1674.94,1637.96,1644.09,1122979.0
2022-10-31,1643.01,1681.72,1616.62,1681.13,1077458.0
2022-11-07,1674.33,1772.74,1664.72,1771.22,1135095.0
2022-11-14,1766.37,1786.51,1747.49,1750.74,1009630.0
2022-11-21,1750.02,1761.13,1723.78,1754.22,846321.0
2022-11-28,1754.1,1804.46,1739.54,1797.58,1123260.0
2022-12-05,1796.43,1809.97,1765.83,1797.09,1100228.0
2022-12-12,1796.76,1824.5,1773.78,1792.92,1156775.0
2022-12-19,1792.3,1823.79,1783.85,1798.17,1052157.0
2022-12-26,1800.27,1833.32,1797.01,1823.47,712273.0
